2026-09-02 13:01:31 | INFO     | trainer | Training complete. Generating reports …
2026-09-02 13:01:32 | INFO     | reporting | Results directory: results\e2_fgbf_sk\e2_fgbf_sk
2026-09-02 13:01:32 | INFO     | trainer | Collecting val logits …
2026-09-02 13:01:43 | INFO     | trainer | Collecting train logits …
2026-09-02 13:02:00 | INFO     | trainer | Collecting test logits …
2026-09-02 13:02:12 | INFO     | reporting | Generating reports for experiment 'e2_fgbf_sk' …
2026-09-02 13:02:12 | INFO     | reporting | Saved results\e2_fgbf_sk\e2_fgbf_sk\val_confusion_matrix.png
2026-09-02 13:02:12 | INFO     | reporting | Saved results\e2_fgbf_sk\e2_fgbf_sk\val_confusion_matrix.csv
2026-09-02 13:02:12 | INFO     | reporting | Saved results\e2_fgbf_sk\e2_fgbf_sk\test_confusion_matrix.png
2026-09-02 13:02:12 | INFO     | reporting | Saved results\e2_fgbf_sk\e2_fgbf_sk\test_confusion_matrix.csv
2026-09-02 13:02:13 | INFO     | reporting | Saved results\e2_fgbf_sk\e2_fgbf_sk\val_fgbf_confusion_matrix.png
2026-09-02 13:02:13 | INFO     | reporting | Saved results\e2_fgbf_sk\e2_fgbf_sk\val_fgbf_confusion_matrix.csv
2026-09-02 13:02:13 | INFO     | reporting | Saved results\e2_fgbf_sk\e2_fgbf_sk\test_fgbf_confusion_matrix.png
2026-09-02 13:02:13 | INFO     | reporting | Saved results\e2_fgbf_sk\e2_fgbf_sk\test_fgbf_confusion_matrix.csv
2026-09-02 13:02:13 | INFO     | reporting | Saved results\e2_fgbf_sk\e2_fgbf_sk\classification_report_val.txt
2026-09-02 13:02:13 | INFO     | reporting | Saved results\e2_fgbf_sk\e2_fgbf_sk\classification_report_test.txt
2026-09-02 13:02:13 | INFO     | reporting | Saved results\e2_fgbf_sk\e2_fgbf_sk\predictions.csv
2026-09-02 13:02:13 | INFO     | reporting | Saved results\e2_fgbf_sk\e2_fgbf_sk\metrics.json
2026-09-02 13:02:13 | INFO     | reporting | Saved results\e2_fgbf_sk\e2_fgbf_sk\metrics.csv
2026-09-02 13:02:13 | INFO     | reporting | Saved results\e2_fgbf_sk\e2_fgbf_sk\plots\loss_curve.png
2026-09-02 13:02:13 | INFO     | reporting | Saved results\e2_fgbf_sk\e2_fgbf_sk\plots\accuracy_curve.png
2026-09-02 13:02:13 | INFO     | reporting | Saved results\e2_fgbf_sk\e2_fgbf_sk\plots\loss_vs_accuracy.png
2026-09-02 13:02:14 | INFO     | reporting | Saved results\e2_fgbf_sk\e2_fgbf_sk\plots\f1_curve.png
2026-09-02 13:02:14 | INFO     | reporting | Saved results\e2_fgbf_sk\e2_fgbf_sk\plots\qwk_curve.png
2026-09-02 13:02:14 | INFO     | reporting | Saved results\e2_fgbf_sk\e2_fgbf_sk\plots\mae_curve.png
2026-09-02 13:02:14 | INFO     | reporting | Saved results\e2_fgbf_sk\e2_fgbf_sk\plots\learning_rate_curve.png
2026-09-02 13:02:14 | INFO     | reporting | ====================================================
2026-09-02 13:02:14 | INFO     | reporting |   FINAL RESULTS
2026-09-02 13:02:14 | INFO     | reporting | ====================================================
2026-09-02 13:02:14 | INFO     | reporting | TRAIN
2026-09-02 13:02:14 | INFO     | reporting |   Overall Accuracy   : 0.5795
2026-09-02 13:02:14 | INFO     | reporting |   Macro Precision    : 0.5853
2026-09-02 13:02:14 | INFO     | reporting |   Macro Recall       : 0.4659
2026-09-02 13:02:14 | INFO     | reporting |   Macro F1           : 0.4593
2026-09-02 13:02:14 | INFO     | reporting |   Weighted Precision : 0.5388
2026-09-02 13:02:14 | INFO     | reporting |   Weighted Recall    : 0.5795
2026-09-02 13:02:14 | INFO     | reporting |   Weighted F1        : 0.5169
2026-09-02 13:02:14 | INFO     | reporting |   MAE                : 0.5952
2026-09-02 13:02:14 | INFO     | reporting |   QWK                : 0.6640
2026-09-02 13:02:14 | INFO     | reporting |   KL0 Recall         : 0.8643
2026-09-02 13:02:14 | INFO     | reporting |   KL1 Recall         : 0.0048
2026-09-02 13:02:14 | INFO     | reporting |   KL1 F1             : 0.0094
2026-09-02 13:02:14 | INFO     | reporting |   KL2 Recall         : 0.5772
2026-09-02 13:02:14 | INFO     | reporting |   Boundary Error Counts:
2026-09-02 13:02:14 | INFO     | reporting |     KL1 -> KL0       : 696
2026-09-02 13:02:14 | INFO     | reporting |     KL1 -> KL2       : 304
2026-09-02 13:02:14 | INFO     | reporting |     KL0 -> KL1       : 8
2026-09-02 13:02:14 | INFO     | reporting |     KL2 -> KL1       : 1
2026-09-02 13:02:14 | INFO     | reporting |   FGBF Diagnostics (Auxiliary Head):
2026-09-02 13:02:14 | INFO     | reporting |     FGBF Low-Grade Acc : 0.6257
2026-09-02 13:02:14 | INFO     | reporting |     KL0 Prec/Rec/F1    : 0.6262 / 0.8757 / 0.7302
2026-09-02 13:02:14 | INFO     | reporting |     KL1 Prec/Rec/F1    : 0.4000 / 0.0019 / 0.0038
2026-09-02 13:02:14 | INFO     | reporting |     KL2 Prec/Rec/F1    : 0.6254 / 0.6794 / 0.6513
2026-09-02 13:02:14 | INFO     | reporting |     FGBF Boundary Errors:
2026-09-02 13:02:14 | INFO     | reporting |       KL1 -> KL0       : 708
2026-09-02 13:02:14 | INFO     | reporting |       KL1 -> KL2       : 336
2026-09-02 13:02:14 | INFO     | reporting |   ------------------------------------------------
2026-09-02 13:02:14 | INFO     | reporting | VALIDATION
2026-09-02 13:02:14 | INFO     | reporting |   Overall Accuracy   : 0.6029
2026-09-02 13:02:14 | INFO     | reporting |   Macro Precision    : 0.6385
2026-09-02 13:02:14 | INFO     | reporting |   Macro Recall       : 0.5121
2026-09-02 13:02:14 | INFO     | reporting |   Macro F1           : 0.4988
2026-09-02 13:02:14 | INFO     | reporting |   Weighted Precision : 0.5795
2026-09-02 13:02:14 | INFO     | reporting |   Weighted Recall    : 0.6029
2026-09-02 13:02:14 | INFO     | reporting |   Weighted F1        : 0.5430
2026-09-02 13:02:14 | INFO     | reporting |   MAE                : 0.5738
2026-09-02 13:02:14 | INFO     | reporting |   QWK                : 0.6764
2026-09-02 13:02:14 | INFO     | reporting |   KL0 Recall         : 0.8445
2026-09-02 13:02:14 | INFO     | reporting |   KL1 Recall         : 0.0196
2026-09-02 13:02:14 | INFO     | reporting |   KL1 F1             : 0.0375
2026-09-02 13:02:14 | INFO     | reporting |   KL2 Recall         : 0.6085
2026-09-02 13:02:14 | INFO     | reporting |   Boundary Error Counts:
2026-09-02 13:02:14 | INFO     | reporting |     KL1 -> KL0       : 95
