2026-09-02 12:50:42 | INFO     | reporting | Results directory: results\e2_fgbf\e2_fgbf
2026-09-02 12:50:42 | INFO     | trainer | Collecting val logits …
2026-09-02 12:50:53 | INFO     | trainer | Collecting train logits …
2026-09-02 12:51:10 | INFO     | trainer | Collecting test logits …
2026-09-02 12:51:22 | INFO     | reporting | Generating reports for experiment 'e2_fgbf' …
2026-09-02 12:51:22 | INFO     | reporting | Saved results\e2_fgbf\e2_fgbf\val_confusion_matrix.png
2026-09-02 12:51:22 | INFO     | reporting | Saved results\e2_fgbf\e2_fgbf\val_confusion_matrix.csv
2026-09-02 12:51:22 | INFO     | reporting | Saved results\e2_fgbf\e2_fgbf\test_confusion_matrix.png
2026-09-02 12:51:22 | INFO     | reporting | Saved results\e2_fgbf\e2_fgbf\test_confusion_matrix.csv
2026-09-02 12:51:23 | INFO     | reporting | Saved results\e2_fgbf\e2_fgbf\val_fgbf_confusion_matrix.png
2026-09-02 12:51:23 | INFO     | reporting | Saved results\e2_fgbf\e2_fgbf\val_fgbf_confusion_matrix.csv
2026-09-02 12:51:23 | INFO     | reporting | Saved results\e2_fgbf\e2_fgbf\test_fgbf_confusion_matrix.png
2026-09-02 12:51:23 | INFO     | reporting | Saved results\e2_fgbf\e2_fgbf\test_fgbf_confusion_matrix.csv
2026-09-02 12:51:23 | INFO     | reporting | Saved results\e2_fgbf\e2_fgbf\classification_report_val.txt
2026-09-02 12:51:23 | INFO     | reporting | Saved results\e2_fgbf\e2_fgbf\classification_report_test.txt
2026-09-02 12:51:23 | INFO     | reporting | Saved results\e2_fgbf\e2_fgbf\predictions.csv
2026-09-02 12:51:23 | INFO     | reporting | Saved results\e2_fgbf\e2_fgbf\metrics.json
2026-09-02 12:51:23 | INFO     | reporting | Saved results\e2_fgbf\e2_fgbf\metrics.csv
2026-09-02 12:51:23 | INFO     | reporting | Saved results\e2_fgbf\e2_fgbf\plots\loss_curve.png
2026-09-02 12:51:23 | INFO     | reporting | Saved results\e2_fgbf\e2_fgbf\plots\accuracy_curve.png
2026-09-02 12:51:23 | INFO     | reporting | Saved results\e2_fgbf\e2_fgbf\plots\loss_vs_accuracy.png
2026-09-02 12:51:24 | INFO     | reporting | Saved results\e2_fgbf\e2_fgbf\plots\f1_curve.png
2026-09-02 12:51:24 | INFO     | reporting | Saved results\e2_fgbf\e2_fgbf\plots\qwk_curve.png
2026-09-02 12:51:24 | INFO     | reporting | Saved results\e2_fgbf\e2_fgbf\plots\mae_curve.png
2026-09-02 12:51:24 | INFO     | reporting | Saved results\e2_fgbf\e2_fgbf\plots\learning_rate_curve.png
2026-09-02 12:51:24 | INFO     | reporting | ====================================================
2026-09-02 12:51:24 | INFO     | reporting |   FINAL RESULTS
2026-09-02 12:51:24 | INFO     | reporting | ====================================================
2026-09-02 12:51:24 | INFO     | reporting | TRAIN
2026-09-02 12:51:24 | INFO     | reporting |   Overall Accuracy   : 0.5805
2026-09-02 12:51:24 | INFO     | reporting |   Macro Precision    : 0.4995
2026-09-02 12:51:24 | INFO     | reporting |   Macro Recall       : 0.4227
2026-09-02 12:51:24 | INFO     | reporting |   Macro F1           : 0.3949
